Marque_Modele,VERSION,ENERGIE,Boite_de_vitesse,PUISS_FISCALE,DATE,MALUS,PRIX_Neuf
Citroen Jumper,35 L3H2 (Tolé) 2.0 BlueHDi 140 BVM6 Driver (Fourgon),Diesel,Manuelle,7CV,06/2019,3331,46080
Fiat Ducato Châssis Double Cabine,3.5 Maxi XL Benne 2.3D MultiJet 150 Euro 6 Série Spéciale Pack Pro Nav (Châssis),Diesel,Manuelle,8CV,07/2016,,46080
Peugeot Boxer,TOLE 335 L3H2 BlueHDi 140 ASPHALT (Fourgon),Diesel,Manuelle,7CV,09/2019,3331,46080
Renault Master Cabine Approfondie,L2H2 3.3t 2.3 dCi 180 Energy Confort (Fourgon),Diesel,Manuelle,8CV,06/2019,13682,46080
Volvo XC60,2.0i T4 190 Geartronic 8 Momentum (Tout-Terrain),Essence,Automatique,11CV,09/2018,8671,46080
Ford Transit Fourgon Cabine Approfondie,T350 L3H2 2.0D 185 EcoBlue Trend Business (Fourgon),Diesel,Manuelle,7CV,05/2019,10488,46086
Lexus NX,2.5i 155 Hybride 300h 2WD BVA Sport Edition (Tout-Terrain),Hybride,Automatique,8CV,04/2019,650,46090
Fiat Ducato,3.5 Maxi XL H3 2.3D MultiJet 130 Euro 6 Pack Professional (Fourgon),Diesel,Manuelle,8CV,07/2016,20000,46092
Fiat Ducato Cabine Approfondie,3.5 M H2 2.3D MultiJet 150 Euro 6 Pack Professional (Fourgon),Diesel,Manuelle,8CV,07/2016,11488,46092
Ford Mondeo SW,2.0 D 190 EcoBlue BVA8 Vignale (Break),Diesel,Automatique,10CV,02/2019,540,46100
Mercedes Classe C,C 200 d 160ch 9G-Tronic Avantgarde Line (4p.),Diesel,Automatique,8CV,04/2019,100,46100
Mercedes Classe C,C 200 184ch 9G-Tronic Avantgarde Line (4p.),Essence,Automatique,10CV,05/2018,983,46100
Renault Mégane,1.8i TCe 300 EDC RS Trophy (5p.),Essence,Automatique,19CV,01/2019,14273,46100
Skoda Superb,2.0 TSI 190 DSG7 Laurin & Klement (5p.),Essence,Automatique,10CV,06/2019,1901,46100
Toyota Proace Verso,Long 150 D-4D BVM6 Executive (Combiné),Diesel,Manuelle,8CV,11/2019,2205,46100
Iveco Daily Châssis Cabine,CHC 35 S (EMP 3450) 2.3D MultiJet 136 14 P HiMatic Quad-Leaf (Châssis),Diesel,Automatique,8CV,02/2018,,46116
Opel Zafira Life,L2 2.0 D 150 Business Elegance (Monospace),Diesel,Manuelle,8CV,07/2019,2205,46120
Land Rover Discovery Sport,Mark V P200 MHEV AWD BVA Business (Tout-Terrain),Essence,Automatique,12CV,05/2019,12552,46124
Citroen Jumper,4-35 L3H2 (Tolé) 2.0 BlueHDi 165 BVM6 Club (Fourgon),Diesel,Manuelle,7CV,06/2019,3784,46140
Citroen Jumper,33 L3H3 (Tolé) 2.0 BlueHDi 165 BVM6 Driver (Fourgon),Diesel,Manuelle,7CV,06/2019,3784,46140
Peugeot Boxer,435 L3H2 BlueHDi 165 PREMIUM (Fourgon),Diesel,Manuelle,7CV,07/2019,3784,46140
Renault Master,L3H2 3.5t 2.3 dCi 150 Energy Grand Confort (Fourgon),Diesel,Manuelle,8CV,06/2019,4818,46140
Renault Master,L2H3 3.5t 2.3 dCi 150 Energy Grand Confort (Fourgon),Diesel,Manuelle,8CV,06/2019,4818,46140
Renault Master,L2H2 3.5t 2.3 dCi 180 Energy Grand Confort (Fourgon),Diesel,Manuelle,8CV,06/2019,13682,46140
Renault Master,L2H3 2.3 dCi 145 GRAND CONFORT (Fourgon),Diesel,Manuelle,8CV,09/2019,20000,46140
Renault Master,L3H2 2.3 dCi 145 GRAND CONFORT (Fourgon),Diesel,Manuelle,8CV,09/2019,20000,46140
Renault Master,L2H2 2.3 dCi 165 GRAND CONFORT (Fourgon),Diesel,Manuelle,8CV,09/2019,20000,46140
Ford Transit Fourgon Cabine Approfondie,T350 L2H3 2.0D 170 EcoBlue BVA Trend Business (Fourgon),Diesel,Automatique,5CV,05/2019,14881,46146
BMW i3,s Electrique 120 Ah 184ch BVA iLife Atelier (Monospace),Électrique,Automatique,3CV,09/2018,-3000,46150
BMW Série 3,318i 156ch BVA Luxury (4p.),Essence,Automatique,7CV,02/2020,,46150
BMW Série 3,318d 150ch M Sport (4p.),Diesel,Manuelle,8CV,02/2020,100,46150
BMW X1,xDrive 18d 150ch M Sport (Tout-Terrain),Diesel,Manuelle,8CV,05/2019,400,46150
Land Rover Discovery Sport,Mark V D150 S R-Dynamic (Tout-Terrain),Diesel,Manuelle,8CV,05/2019,1761,46150
Mazda CX-5,2.2L Skyactiv-D 184 ch 4x4 BVA6 Selection (Tout-Terrain),Diesel,Automatique,10CV,01/2020,2726,46150
Seat Tarraco,2.0 TDI 150 ch 4Drive DSG7 FR (Tout-Terrain),Diesel,Automatique,8CV,02/2020,1074,46150
Mercedes Vito Mixto,119 CDI Mixto Long 190ch BVA (Fourgon),Diesel,Automatique,6CV,09/2014,19641,46182
Nissan NV300 Cabine Approfondie,L1H1 3T0 2.0 DCI 170 DCT TEKNA (Fourgon),Diesel,Automatique,7CV,08/2019,,46190
Alfa Romeo Stelvio,2.2 D 160 AT8 Super (Tout-Terrain),Diesel,Automatique,9CV,12/2019,1386,46200
BMW Série 2 Cabriolet,218i Cabriolet 136ch BVA8 M Sport (Cabriolet),Essence,Automatique,8CV,02/2019,818,46200
DS DS3 CrossBack,E-Tense BVA La Première (5p.),Électrique,Automatique,5CV,03/2019,-3000,46200
Mini Mini Countryman,2.0D 190 ALL4 BVA Cooper SD John Cooper Works (Tout-Terrain),Diesel,Automatique,10CV,11/2016,330,46200
Peugeot 5008,2.0 BlueHDi 180 EAT8 GT (Tout-Terrain),Diesel,Automatique,9CV,02/2018,360,46200
Renault Master,L3H2 3.5t (PROPULSION) 2.3 dCi 145 Energy CONFORT (Fourgon),Diesel,Manuelle,6CV,07/2019,20000,46200
Renault Talisman Estate,2.0 Blue dCi 200 EDC S-Edition (Break),Diesel,Automatique,11CV,12/2018,818,46200
Volkswagen Multivan,2.0 TDI 150 BVM6 Trendline (Monospace),Diesel,Manuelle,9CV,01/2020,9550,46200
Volkswagen Transporter,L2H1 2.0 TDI 150 4Motion DSG7 Business Line (Fourgon),Diesel,Automatique,7CV,07/2019,14881,46200
Volkswagen Transporter,L1H1 2.0 TDI 150 4Motion DSG7 Business Line Plus (Fourgon),Diesel,Automatique,7CV,07/2019,14881,46200
Audi Q3 Sportback,35 TDI 150 S tronic 7 Business line (Tout-Terrain),Diesel,Automatique,8CV,09/2019,260,46210
Fiat Ducato,3.5 Maxi XL H3 2.3D MultiJet 130 Euro 6 Série Spéciale Pack Pro Nav (Fourgon),Diesel,Manuelle,8CV,07/2016,20000,46212
Fiat Ducato Cabine Approfondie,3.5 M H2 2.3D MultiJet 150 Euro 6 Série Spéciale Pack Pro Nav (Fourgon),Diesel,Manuelle,8CV,07/2016,11488,46212
Ford Transit Fourgon,P350 L3H3 2.0D 185 EcoBlue Trend Business (Fourgon),Diesel,Manuelle,7CV,05/2019,20000,46218
Opel Zafira Life,L2 2.0 D 150 Elegance (Monospace),Diesel,Manuelle,8CV,07/2019,2205,46230
Fiat Ducato Plancher Cabine,3.5 L 3.0 GNV 140 Euro 6 Pack Techno (Plancher),GPL,Manuelle,8CV,07/2016,,46236
Seat Tarraco,2.0 TDI 190 4Drive DSG7 Xcellence (Tout-Terrain),Diesel,Automatique,10CV,12/2019,2544,46240
Volkswagen Tiguan,2.0 TDI 150 BlueMotion Technology 4Motion DSG7 Carat (Tout-Terrain),Diesel,Automatique,8CV,01/2016,1074,46240
BMW Série 2 Gran Tourer,218d Gran Tourer 150ch BVA8 M Sport (Monospace),Diesel,Automatique,8CV,02/2018,100,46250
Mercedes Classe GLB,GLB 200 d 8G-DCT Progressive Line (Tout-Terrain),Diesel,Automatique,8CV,09/2019,310,46250
Fiat Ducato Châssis Double Cabine,3.5 Maxi XL CDC Benne Alu 2.3D MultiJet 130 Euro 6 Pack Professional (Châssis),Diesel,Manuelle,8CV,02/2018,,46260
Fiat Ducato,3.5 L H3 2.3D MultiJet 130 Euro 6 Pack Techno (Fourgon),Diesel,Manuelle,8CV,07/2016,18905,46272
Iveco Daily Fourgon,35 S (V11 H2) 2.3D MultiJet 156 HiMatic Quad-Leaf (Fourgon),Diesel,Automatique,8CV,07/2016,20000,46272
Iveco Daily Châssis Double Cabine,CHDC 35 S (EMP 4100) 12 HiMatic Quad-Leaf (Châssis),Diesel,Automatique,8CV,02/2018,,46278
Ford Transit Kombi,T330 L3H2 2.0D 170 EcoBlue BVA Trend Business (Combiné),Diesel,Automatique,10CV,05/2019,9550,46285
Audi A4,40 TDI 190 S tronic 7 Design (4p.),Diesel,Automatique,10CV,07/2019,0,46300
BMW Série 3,316d 122ch BVA M Sport (4p.),Diesel,Automatique,7CV,02/2020,,46300
BMW X1,sDrive 18d 150ch BVA8 M Sport (Tout-Terrain),Diesel,Automatique,8CV,05/2019,150,46300
BMW X1,xDrive18d 150ch BVA8 xLine (Tout-Terrain),Diesel,Automatique,8CV,02/2018,540,46300
DS DS7 CrossBack,BlueHDi 130 EAT8 Grand Chic (Tout-Terrain),Diesel,Automatique,7CV,01/2020,0,46300
Mercedes Classe GLA,GLA 250 211ch 4Matic 7G-DCT Sensation (Tout-Terrain),Essence,Automatique,12CV,05/2018,9103,46300
Toyota RAV 4,Hybride 218 2WD e-CVT Première Edition (Tout-Terrain),Hybride,Automatique,9CV,10/2018,0,46300
Audi Q3 Sportback,35 TDI 150 Quattro Business line (Tout-Terrain),Diesel,Manuelle,8CV,09/2019,2370,46310
Citroen Jumper,4-35 L4H2 (Tolé) 2.0 BlueHDi 140 BVM6 Club (Fourgon),Diesel,Manuelle,7CV,06/2019,3331,46320
Citroen Jumper,4-35 L3H3 (Tolé) 2.0 BlueHDi 140 BVM6 Club (Fourgon),Diesel,Manuelle,7CV,06/2019,3331,46320
Peugeot Boxer,435 L3H3 BlueHDi 140 PREMIUM (Fourgon),Diesel,Manuelle,7CV,07/2019,3331,46320
Peugeot Boxer,435 L4H2 BlueHDi 140 PREMIUM (Fourgon),Diesel,Manuelle,7CV,07/2019,3331,46320
Renault Master Cabine Approfondie,L2H2 3.3t 2.3 dCi 150 Energy Grand Confort (Fourgon),Diesel,Manuelle,8CV,06/2019,4818,46320
Renault Master Cabine Approfondie,L1H2 3.3t 2.3 dCi 180 Energy Grand Confort (Fourgon),Diesel,Manuelle,8CV,06/2019,13682,46320
Renault Master Transports Spécifiques,L3 3.5t 2.3 dCi 145 Energy (Benne),Diesel,Manuelle,6CV,07/2019,20000,46320
Audi A4 Avant,35 TFSI 150 S tronic 7 S line (Break),Essence,Automatique,8CV,07/2019,450,46325
Skoda Kodiaq,2.0 TDI 150 DSG7 Laurin & Klement (Tout-Terrain),Diesel,Automatique,8CV,06/2019,330,46330
Opel Movano,F3500 L3H3 2.3D BiTurbo 150 EasyTronic (Fourgon),Diesel,Automatique,10CV,06/2019,,46344
Opel Movano,F3500 L3H2 (PROPULSION RS) 2.3D BiTurbo 165 (Fourgon),Diesel,Manuelle,8CV,06/2019,,46344
Mazda CX-5,2.2L Skyactiv-D 184 ch 4x4 BVA6 Selection (Tout-Terrain),Diesel,Automatique,10CV,01/2020,2726,46350
Mercedes Classe C Coupé,C 200 Coupé 184 ch 9G-Tronic Avantgarde Line (Coupé),Essence,Automatique,10CV,05/2018,983,46350
Mercedes Classe SLC,SLC 200 184 ch Executive (Roadster),Essence,Manuelle,10CV,06/2018,5715,46350
Fiat Ducato Châssis Double Cabine,3.5 Maxi XL CDC Benne Alu 2.3D MultiJet 130 Euro 6 Pack Pro Nav (Châssis),Diesel,Manuelle,8CV,02/2018,,46380
Peugeot Expert Cabine Approfondie,2.0 BlueHDi 180 EAT8 FIXE PACK SPORT (Fourgon),Diesel,Automatique,7CV,09/2019,2544,46380
Ford Transit Fourgon Cabine Approfondie,T350 L2H3 2.0D 130 EcoBlue BVA Limited (Fourgon),Diesel,Automatique,7CV,05/2019,14881,46386
BMW Série 2 Coupé,220d Coupé 190ch BVA8 M Sport (Coupé),Diesel,Automatique,10CV,02/2019,260,46400
BMW X2,sDrive 20i 192ch DKG7 Lounge (Tout-Terrain),Essence,Automatique,10CV,06/2019,650,46400
Hyundai Kona,Electrique 64 kWh 204 BVA Executive (Tout-Terrain),Électrique,Automatique,1CV,01/2019,-3000,46400
Infiniti Q70,2.2d 170 BVA (4p.),Diesel,Automatique,9CV,09/2015,360,46400
Skoda Superb Combi,2.0 TDI 190 DSG7 Sportline (Break),Diesel,Automatique,10CV,06/2019,150,46400
Toyota Proace Verso,120 D-4D BVA8 Executive (Combiné),Diesel,Automatique,7CV,06/2019,3331,46400
Audi A5 Sportback,40 TFSI 190 S tronic 7 (5p.),Essence,Automatique,10CV,11/2019,818,46410
Ford Transit Kombi,T350 L3H2 2.0D 170 Micro-Hybride Trend Business (Combiné),Diesel,Manuelle,9CV,05/2019,2544,46415
Citroen Jumper,4-35 L3H2 (Tolé) 2.0 BlueHDi 165 BVM6 Worker (Fourgon),Diesel,Manuelle,7CV,06/2019,3784,46440
Citroen Jumpy Cabine Approfondie,XL 2.0 BlueHDi 180 EAT8 DRIVER (Fourgon),Diesel,Automatique,7CV,04/2019,2544,46440
Fiat Ducato Châssis Cabine,3.5 Maxi L Benne+Coffre 2.3D MultiJet 150 Euro 6 Pack Professional (Châssis),Diesel,Manuelle,8CV,07/2016,14881,46440
Fiat Ducato Châssis Double Cabine,3.5 Maxi XL Benne+Coffre 2.3D MultiJet 150 Euro 6 Pack (Châssis),Diesel,Manuelle,8CV,07/2016,,46440
Peugeot Boxer,435 L3H2 BlueHDi 165 GRIP (Fourgon),Diesel,Manuelle,7CV,07/2019,3784,46440
Peugeot Expert Cabine Approfondie,Long (CA) 2.0 BlueHDi 180 EAT8 FIXE ASPHALT (Fourgon),Diesel,Automatique,7CV,04/2019,2544,46440
Ford Transit Fourgon Cabine Approfondie,T350 L3H3 2.0D 185 EcoBlue Trend Business (Fourgon),Diesel,Manuelle,5CV,05/2019,10488,46446
BMW Série 4 Gran Coupé,420d Gran Coupé 190ch BVA8 Lounge (Coupé),Diesel,Automatique,10CV,02/2019,210,46450
Citroen SpaceTourer,Taille M 2.0 BlueHDi 120 EAT8 Rip Curl (Combiné),Diesel,Automatique,6CV,09/2019,2918,46450
Infiniti Q30,2.2d 170 AWD 7DCT Sport Tech (Tout-Terrain),Diesel,Automatique,9CV,02/2018,2049,46450
Toyota RAV 4,Hybride 218 BVA Collection (Tout-Terrain),Hybride,Automatique,9CV,09/2019,0,46450
Toyota RAV 4,Hybride 218 2WD e-CVT Collection (Tout-Terrain),Hybride,Automatique,9CV,10/2018,0,46450
Ford Transit Fourgon,P350 L4H3 2.0D 185 EcoBlue Trend Business (Fourgon),Diesel,Manuelle,5CV,05/2019,20000,46458
Iveco Daily Châssis Cabine,CHC 35 C (EMP 3000) 2.3D MultiJet 156 BVM6 Quad-Tor (Châssis),Diesel,Manuelle,8CV,07/2016,,46464
Opel Movano,F3500 L3H3 2.3D BiTurbo 180 (Fourgon),Diesel,Manuelle,8CV,06/2019,,46464
Volkswagen Tiguan,2.0 TDI 150 Black R-Line (Tout-Terrain),Diesel,Manuelle,8CV,06/2019,230,46470
Fiat Ducato,3.5 M H2 3.0 GNV 140 Euro 6 Pack (Fourgon),GPL,Manuelle,8CV,07/2016,,46476
Iveco Daily Châssis Cabine,CHC 35 S (EMP 3750) 2.3D MultiJet 136 14 P HiMatic Quad-Leaf (Châssis),Diesel,Automatique,8CV,02/2018,,46476
Lexus NX,2.5i 155 Hybride 300h 2WD BVA Pack Business (Tout-Terrain),Hybride,Automatique,8CV,08/2019,650,46490
Subaru Outback,2.5i 173 Lineartronic Exclusive (Break),Essence,Automatique,10CV,03/2019,9103,46490
Volvo V60,2.0 D3 150 AdBlue Geartronic 8 Business Executive (Break),Diesel,Automatique,8CV,02/2018,260,46490
BMW Série 2 Active Tourer,Active Tourer 225xe 224 ch BVA6 Luxury (Monospace),Hybride,Automatique,7CV,02/2020,0,46500
BMW Série 2 Cabriolet,220d Cabriolet 190ch Sport (Cabriolet),Diesel,Manuelle,10CV,02/2019,740,46500
BMW Série 4 Gran Coupé,418d Gran Coupé 150ch BVA8 Business Design (Coupé),Diesel,Automatique,8CV,02/2019,230,46500
Mercedes Classe C Break,C 200 d Break 160ch 9G-Tronic Business Line (Break),Diesel,Automatique,8CV,04/2019,100,46500
Mercedes Classe C Break,C 200 Break 184ch 9G-Tronic Business Line (Break),Essence,Automatique,10CV,05/2018,2205,46500
Peugeot 508,1.6i 180 Hybrid 225 PureTech e-EAT8 Allure Business (5p.),Hybride,Automatique,8CV,06/2019,0,46500
Peugeot Boxer,435 L4H2 BlueHDi 165 Vitré (Fourgon),Diesel,Manuelle,7CV,09/2019,3784,46500
Skoda Kodiaq,2.0 TDI 190 4x4 DSG7 Style (Tout-Terrain),Diesel,Automatique,10CV,06/2019,983,46500
Toyota RAV 4,Hybride 222 AWD e-CVT Lounge (Tout-Terrain),Hybride,Automatique,9CV,09/2019,0,46500
Fiat Ducato,3.5 Maxi L H2 2.3D MultiJet 150 Euro 6 Pack Techno (Fourgon),Diesel,Manuelle,8CV,07/2016,20000,46512
Ford Transit Fourgon,T350 L3H2 2.0D 185 EcoBlue BVA Trend Business (Fourgon),Diesel,Automatique,7CV,05/2019,14881,46518
Volvo XC60,2.0 D3 150 AdBlue Business Executive (Tout-Terrain),Diesel,Manuelle,8CV,02/2018,898,46530
Jaguar XE,P250 BVA S (4p.),Essence,Automatique,15CV,02/2019,6375,46550
Mercedes Classe B,B 250 224ch 4-Matic 7G-DCT AMG Line Edition (Monospace),Essence,Automatique,13CV,09/2019,3552,46550
Mercedes Classe GLB,GLB 200 7G-DCT AMG Line (Tout-Terrain),Essence,Automatique,9CV,09/2019,818,46550
Fiat Ducato Châssis Cabine,3.5 Maxi L Benne+Coffre 2.3D MultiJet 150 Euro 6 Série Spéciale Pack Pro Nav (Châssis),Diesel,Manuelle,8CV,07/2016,14881,46560
Volkswagen Transporter Châssis Cabine,L2 2.0 TDI 204 4Motion DSG7 Business Line (Châssis),Diesel,Automatique,7CV,08/2016,19641,46560
Land Rover Range Rover Evoque,2.0D 150 AWD BVA9 Business (Tout-Terrain),Diesel,Automatique,8CV,04/2019,2370,46567
Fiat Ducato,3.5 M H2 (Vitré) 2.3D MultiJet 160 PACK TECHNO (Fourgon),Diesel,Manuelle,8CV,07/2019,,46572
Lexus NX,2.5i 155 Hybride 300h 2WD BVA Pack Business (Tout-Terrain),Hybride,Automatique,8CV,03/2018,540,46590
Lexus NX,2.5i 155 Hybride 300h 2WD BVA Sport Edition (Tout-Terrain),Hybride,Automatique,8CV,08/2019,650,46590
Fiat Ducato Plancher Cabine,3.5 XL 3.0 GNV 140 Euro 6 Pack Techno (Plancher),GPL,Manuelle,8CV,07/2016,,46596
BMW Série 2 Gran Coupé,220d Gran Coupé 190ch BVA M Sport (Coupé),Diesel,Automatique,10CV,10/2019,0,46600
BMW Série 5,518d 150ch BVA8 Lounge (4p.),Diesel,Manuelle,8CV,06/2018,100,46600
Mercedes Classe A Berline,A 250 Berline 224ch 4Matic 7G-DCT AMG Line (4p.),Essence,Automatique,13CV,09/2018,2370,46600
Mini Mini Countryman,136 - 88 ch ALL4 BVA6 Cooper SE Yours (Tout-Terrain),Hybride,Automatique,6CV,01/2020,0,46600
Skoda Superb Combi,2.0 TDI 190 4x4 DSG7 Scout (Break),Diesel,Automatique,10CV,06/2019,280,46600
Toyota Proace Verso,Long 120 D-4D BVA8 Executive (Combiné),Diesel,Automatique,7CV,11/2019,3331,46600
Skoda Kodiaq,2.0 TDI 150 4x4 DSG7 Sportline (Tout-Terrain),Diesel,Automatique,8CV,06/2019,1172,46610
Citroen Jumper,4-35 L4H2 (Tolé) 2.0 BlueHDi 140 BVM6 Worker (Fourgon),Diesel,Manuelle,7CV,06/2019,3331,46620
Renault Master,L2H3 2.3 dCi 150 BVA CONFORT (Fourgon),Diesel,Automatique,8CV,11/2019,17490,46620
Renault Master,L3H2 2.3 dCi 150 BVA CONFORT (Fourgon),Diesel,Automatique,8CV,11/2019,17490,46620
Renault Master Cabine Approfondie,L3H2 3.5t 2.3 dCi 135 Confort (Fourgon),Diesel,Manuelle,8CV,06/2019,14881,46620
Renault Master Châssis Cabine,L3 3.5t 2.3 dCi 165 Energy GRAND CONFORT (Châssis),Diesel,Manuelle,8CV,07/2019,20000,46620
Renault Master Châssis Double Cabine,L3 3.5t 2.3 dCi 165 Energy CONFORT (Châssis),Diesel,Manuelle,8CV,07/2019,20000,46620
Fiat Ducato,3.5 Maxi L H2 2.3D MultiJet 180 Euro 6 Pack Professional (Fourgon),Diesel,Manuelle,8CV,07/2016,20000,46632
Mercedes Vito Mixto,119 CDI Mixto 190ch BVA Compact Select (Fourgon),Diesel,Automatique,6CV,09/2014,17490,46638
Mercedes Vito Tourer,116 CDI Tourer 116 CDI Long Pro (Combiné),Diesel,Automatique,9CV,06/2019,4543,46642
Iveco Daily Châssis Double Cabine,CHDC 35 C (EMP 3450) 12 BVM6 Quad-Leaf (Châssis),Diesel,Manuelle,8CV,07/2016,,46644
Ford Transit Kombi,T330 L3H2 2.0D 170 EcoBlue BVA Trend Business (Combiné),Diesel,Automatique,10CV,05/2019,9550,46645
Audi A4,40 TDI 190 S tronic 7 Business Line (4p.),Diesel,Automatique,10CV,07/2019,0,46650
BMW X1,xDrive20d 190ch BVA8 Business Design (Tout-Terrain),Diesel,Automatique,10CV,02/2018,450,46650
BMW X1,xDrive 25e 220 ch BVA6 BVA Lounge (Tout-Terrain),Hybride,Automatique,7CV,10/2019,0,46650
BMW X1,xDrive 18d 150ch BVA8 xLine (Tout-Terrain),Diesel,Automatique,8CV,05/2019,310,46650
BMW Z4 Roadster,sDrive 20i Roadster 197ch BVM6 (Roadster),Essence,Manuelle,11CV,07/2019,4026,46650
Jaguar E-Pace,2.0D 180 AWD BVM I S (Tout-Terrain),Diesel,Manuelle,11CV,06/2018,3552,46650
Jaguar E-Pace,2.0i 200 AWD BVA I S (Tout-Terrain),Essence,Automatique,13CV,06/2018,18188,46650
Mercedes Classe GLB,GLB 200 d 8G-DCT Business Line (Tout-Terrain),Diesel,Automatique,8CV,09/2019,310,46650
Mercedes Classe SLC,SLC 180 156ch 9G-Tronic Sportline (Roadster),Essence,Automatique,9CV,06/2018,2205,46650
Iveco Daily Fourgon,35 S (V7 H1) 2.3D MultiJet 180 18 HiMatic Quad-Leaf (Fourgon),Diesel,Automatique,10CV,07/2016,20000,46656
Volkswagen Crafter Châssis Double Cabine,35 L3H3 2.0 TDI 122 Propulsion Business Line (Châssis),Diesel,Manuelle,7CV,01/2018,20000,46668
Citroen Jumper,35 L3H3 (Tolé) 2.0 BlueHDi 165 BVM6 Club (Fourgon),Diesel,Manuelle,7CV,06/2019,3784,46680
Citroen Jumper,4-35 L3H2 (Tolé) 2.0 BlueHDi 140 BVM6 Driver (Fourgon),Diesel,Manuelle,7CV,06/2019,3331,46680
Peugeot Boxer,435 L3H2 BlueHDi 140 ASPHALT (Fourgon),Diesel,Manuelle,7CV,07/2019,3331,46680
Peugeot Boxer,TOLE 335 L3H3 BlueHDi 165 PREMIUM (Fourgon),Diesel,Manuelle,7CV,09/2019,3784,46680
Infiniti Q50,2.2d 170 BVM Sport (4p.),Diesel,Manuelle,9CV,10/2017,230,46700
Jaguar E-Pace,2.0D 180 AWD BVA I R-Dynamic (Tout-Terrain),Diesel,Automatique,11CV,06/2018,6039,46700
Renault Koleos,2.0 dCi 190 All Mode 4x4-i Xtronic Initiale Paris (Tout-Terrain),Diesel,Automatique,11CV,09/2019,3784,46700
Renault Talisman,2.0 Blue dCi 200 EDC Initiale Paris (4p.),Diesel,Automatique,11CV,12/2018,818,46700
Ford Tourneo Custom,320 L2H1 2.0D 185 EcoBlue BVA Trend Business (Combiné),Diesel,Automatique,10CV,05/2019,13109,46700
Volkswagen Passat,2.0 TSI 190 DSG7 R-Line (4p.),Essence,Automatique,10CV,08/2019,1276,46715
Jaguar XE,D180 BVA SE (4p.),Diesel,Automatique,10CV,02/2019,818,46720
Seat Alhambra,2.0 TDI 177 DSG6 Premium 7 (Monospace),Diesel,Automatique,10CV,06/2018,1901,46720
Fiat Ducato Châssis Cabine,3.5 L Maxxi Benne Alu + coffre 2.3D MultiJet 130 Euro 6 Pack Professional (Châssis),Diesel,Manuelle,8CV,02/2018,,46740
Fiat Ducato Châssis Double Cabine,3.5 XL Maxxi Benne Alu + coffre 2.3D MultiJet 130 Euro 6 Pack (Châssis),Diesel,Manuelle,8CV,02/2018,,46740
Volvo XC40,2.0 D4 190 AdBlue AWD Geartronic 8 Business (Tout-Terrain),Diesel,Automatique,10CV,02/2018,898,46750
Fiat Ducato,3.5 Maxi L H3 2.3D MultiJet 130 Euro 6 Pack Techno (Fourgon),Diesel,Manuelle,8CV,07/2016,20000,46752
Fiat Ducato,3.5 Maxi XL H2 2.3D MultiJet 130 Euro 6 Pack Techno (Fourgon),Diesel,Manuelle,8CV,07/2016,20000,46752
Fiat Ducato,3.5 Maxi L H2 2.3D MultiJet 180 Euro 6 Série Spéciale Pack Pro Nav (Fourgon),Diesel,Manuelle,8CV,07/2016,20000,46752
Iveco Daily Fourgon,35 S (V14 H3) 2.3D MultiJet 136 14 HiMatic Quad-Leaf (Fourgon),Diesel,Automatique,8CV,07/2016,20000,46752
Iveco Daily Châssis Cabine,CHC 35 C (EMP 3000) 12 HiMatic Quad-Leaf (Châssis),Diesel,Automatique,8CV,07/2016,,46764
Iveco Daily Châssis Cabine,CHC 35 C (EMP 3000) 2.3D MultiJet 150 BVM6 Quad-Leaf (Châssis),Diesel,Manuelle,10CV,06/2017,,46764
Ford Transit Kombi,T350 L3H3 2.0D 170 Micro-Hybride Trend Business (Combiné),Diesel,Manuelle,9CV,05/2019,2544,46775
Volkswagen Transporter Châssis Double Cabine,L2 2.0 TDI 204 4Motion Business Line (Châssis),Diesel,Manuelle,7CV,08/2016,20000,46776
Volkswagen Tiguan All Space,2.0 TDI 150 4Motion DSG7 Confortline Business (Tout-Terrain),Diesel,Automatique,8CV,09/2017,1074,46780
BMW Série 3,318d 150ch Luxury (4p.),Diesel,Manuelle,8CV,02/2019,100,46800
BMW X1,xDrive 20d 190ch BVA8 Business Design (Tout-Terrain),Diesel,Automatique,10CV,05/2019,310,46800
Fiat Ducato Châssis Cabine,3.6 M Maxxi Benne Alu 2.3D MultiJet 150 Euro 6 Pack Techno (Châssis),Diesel,Manuelle,8CV,02/2018,,46800
Land Rover Discovery Sport,Mark V P200 MHEV AWD BVA R-Dynamic (Tout-Terrain),Essence,Automatique,12CV,05/2019,12552,46800
Renault Master Cabine Approfondie,2.3 dCi 150 BVA CONFORT (Fourgon),Diesel,Automatique,8CV,11/2019,17490,46800
Renault Master Châssis Cabine,2.3 dCi 165 Energy GRAND CONFORT (Châssis),Diesel,Manuelle,8CV,07/2019,20000,46800
Renault Master Châssis Double Cabine,2.3 dCi 165 Energy CONFORT (Châssis),Diesel,Manuelle,8CV,07/2019,20000,46800
Renault Trafic Navette,L2 2.0 dCi 170 BVA SpaceClass (Combiné),Diesel,Automatique,10CV,09/2019,4818,46800
Volkswagen Caravelle,2.0 TDI 150 BlueMotion Technology BVM6 Confortline (Combiné),Diesel,Manuelle,9CV,07/2019,10011,46800
Nissan Navara Pick-Up,2.3 DCI 190 BVA N-GUARD (Pick-Up),Diesel,Automatique,8CV,07/2019,18905,46801
Ford Transit Fourgon Cabine Approfondie,T350 L3H2 2.0D 170 EcoBlue BVA Trend Business (Fourgon),Diesel,Automatique,5CV,05/2019,14881,46806
